"","x"
"1","2011-m1s2-ter"
"2","abs"
"3","acceleo"
"4","accesointeligente"
"5","activemq"
"6","activiti"
"7","adito_reload"
"8","adventure"
"9","agora"
"10","alkacon-oamp"
"11","alvis"
"12","AMPS"
"13","amu_automata_2011"
"14","android_bionic"
"15","android_browser"
"16","android_development"
"17","android_device_samsung_crespo"
"18","android_device_samsung_tuna"
"19","android_device_samsung_wave"
"20","android_external_apache-xml"
"21","android_external_bouncycastle"
"22","android_external_javasqlite"
"23","android_external_skia-1"
"24","android_frameworks_opt_telephony"
"25","android_hardware_qcom_media-v4l2"
"26","android_kernel_acer_c10"
"27","android_libcore"
"28","android_libcore_s4"
"29","android_packages_apps_ADWLauncher"
"30","android_packages_apps_Browser"
"31","android_packages_apps_Camera"
"32","android_packages_apps_ChaOSLauncher"
"33","android_packages_apps_CMFileManager"
"34","android_packages_apps_COSUpdater"
"35","android_packages_apps_Email"
"36","android_packages_apps_Exchange"
"37","android_packages_apps_FactoryLauncher"
"38","android_packages_apps_Gallery2"
"39","android_packages_apps_killrhome"
"40","android_packages_apps_Launcher2"
"41","android_packages_apps_LegacyCamera"
"42","android_packages_apps_Mms"
"43","android_packages_apps_PackageInstaller"
"44","android_packages_apps_Phone_msm"
"45","android_packages_apps_settings"
"46","android_packages_inputmethods_LatinIME"
"47","android_packages_providers_MediaProvider"
"48","android_platform_packages_apps_Phone"
"49","android_platform_system_core"
"50","android-build"
"51","android-development"
"52","android-music-backport"
"53","android-packages-apps-Trebuchet"
"54","android-sdk"
"55","Android-Terminal-Emulator"
"56","Android-Universal-Image-Loader"
"57","anjuta-clang"
"58","aokp_dalvik"
"59","AP2DX"
"60","apollo-test"
"61","apps_camera"
"62","archive-commons"
"63","ardupilot"
"64","ardupilotone"
"65","ArduPlane"
"66","arduplane-custom-tamu"
"67","arquillian-core"
"68","ATHENA"
"69","atl"
"70","audiere"
"71","awbi"
"72","awe-rdt"
"73","awe-splash"
"74","awe-udig"
"75","B17"
"76","b2g-n7-system-core"
"77","banana-rdf"
"78","betamax"
"79","BIDMat"
"80","bigtop"
"81","bioclipse"
"82","bionic"
"83","bison-php"
"84","black-ninja"
"85","bobo"
